release_year,year_added,month_added,duration_num,director_count,cast_count,country_count,content_age,is_multicountry,is_long_content,main_genre,rating,type
2020,2020,11,42.0,1,5,1,6,0,0,4,10,0
2018,2018,3,90.0,1,10,1,8,0,0,4,3,0
2016,2017,8,89.0,1,1,2,10,1,0,10,6,0
2017,2020,3,79.0,1,8,1,9,0,0,12,8,0
2018,2019,3,101.0,1,18,1,8,0,0,7,5,0
2018,2018,8,1.0,1,20,1,8,0,0,30,9,1
2019,2020,3,2.0,1,12,1,7,0,0,31,6,1
2020,2020,10,102.0,1,12,1,6,0,0,0,9,0
2020,2020,5,122.0,1,7,1,6,0,1,12,5,0
1989,2020,6,85.0,3,15,3,37,1,0,4,0,0
2020,2020,6,1.0,1,10,1,6,0,0,16,8,1
2019,2019,7,83.0,1,4,2,7,1,0,15,8,0
2017,2017,12,5.0,1,11,1,9,0,0,17,11,1
2017,2017,5,1.0,1,6,1,9,0,0,17,11,1
2016,2017,8,92.0,1,11,1,10,0,0,4,7,0
2019,2019,5,40.0,1,1,1,7,0,0,10,6,0
2018,2019,2,84.0,1,10,1,8,0,0,13,8,0
2017,2019,1,104.0,1,8,1,9,0,0,7,8,0
2006,2018,7,91.0,1,9,1,20,0,0,13,5,0
2020,2020,2,109.0,1,10,1,6,0,0,12,8,0
2018,2019,5,100.0,1,8,1,8,0,0,0,5,0
2020,2020,1,90.0,1,10,1,6,0,0,7,6,0
2017,2018,4,90.0,1,10,1,9,0,0,7,8,0
2020,2020,8,94.0,1,9,1,6,0,0,12,3,0
2009,2018,11,99.0,1,9,1,17,0,0,7,6,0
2019,2019,6,90.0,1,6,1,7,0,0,12,8,0
2017,2020,3,95.0,1,10,1,9,0,0,12,5,0
2020,2020,5,1.0,1,3,1,6,0,0,16,8,1
2020,2020,8,92.0,1,8,1,6,0,0,7,8,0
2019,2020,6,1.0,1,1,1,7,0,0,21,6,1
2016,2019,2,103.0,1,11,3,10,1,0,12,5,0
2019,2020,11,103.0,1,8,1,7,0,0,12,6,0
2001,2019,10,103.0,1,11,3,25,1,0,35,5,0
2013,2019,10,45.0,1,9,1,13,0,0,4,7,0
2014,2020,1,45.0,1,7,2,12,1,0,4,11,0
2014,2020,5,5.0,1,3,1,12,0,0,17,10,1
2017,2018,1,90.0,1,1,1,9,0,0,10,7,0
2018,2019,1,106.0,1,2,1,8,0,0,10,8,0
2020,2020,2,2.0,1,11,1,6,0,0,8,8,1
2020,2020,3,75.0,2,7,2,6,1,0,0,8,0
2019,2020,3,98.0,1,7,1,7,0,0,7,6,0
2019,2020,2,2.0,1,10,1,7,0,0,16,6,1
